	context_id	word	gold_sense_id	predict_sense_id	positions	context
0	2074	давление		0	0-9	Давление пара создается движением поршня в цилиндре
1	2075	давление		1	13-22	«У тебя что, давление поднялось?» Я сказал, что не мерил, но, наверное, поднялось
2	2076	давление		1	56-65	Я жалуюсь Никоновичу наконец на головокружение и низкое давление, и лучше бы я этого не делал
3	2077	давление		0	0-9	Давление в котле не менялось
4	2078	давление		0	25-34	Он каждые два часа мерил давление и сахар в крови
5	2079	давление		2	178-187	Узор, образованный гранатами, […] свидетельствует о том, что они выделились из железо-никелевого сплава в твердом состоянии, а это могло произойти только в результате ослабления давления на вещество, поднимавшееся из глубин Земли
6	2080	давление		2	18-28	обработка металла давлением
7	2081	давление		1	30-39	На директора оказывали грубое давление
8	2082	давление		1	50-59	На моего подзащитного оказывается психологическое давление
9	2083	давление		0	21-30	Из-за неравномерного давления снега на стенки палатка перекосилась
10	2084	давление		1	40-49	Подобный взгляд […], вероятно, отражает давление аграрной среды на церковного писателя
11	2085	давление		1	62-71	Караваев ненавидел советскую власть и отважно противостоял ее давлению
12	2086	давление		0	55-64	Колонка находилась рядом – на другой стороне улицы, но давление было слабым, вода текла тончайшей струйкой, и чтобы наполнить ведро, приходилось тратить минут семь
13	2087	давление		1	78-88	Алексей Денисович уверял, что четвертый акт Лермонтовым дописан поневоле, под давлением цензуры, требовавшей наказания порока
14	2088	давление		2	74-83	Сооружаются для передачи этого газа магистральные трубопроводы, в которых давление достигнет 100 атмосфер
15	2089	давление		2	15-24	Физика высоких давлений
16	2090	давление		0	25-34	С каждым десятком метров давление воды на корпус [подводной] лодки возрастает на одну атмосферу
17	2091	давление		0	26-36	Нижняя пачка треснула под давлением верхних девятнадцати, и из нее такой беспрерывной струйкой потекло молоко
18	2092	давление		0	38-47	И еще у меня есть такой вопрос: какое давление создает замерзающая вода и можно ли сделать настолько крепкие трубы, чтобы они не лопались зимой, когда вода в них замерзнет?
19	2093	давление		0	99-108	Ныряя под углом, проходишь большее расстояние до дна, зато идти легко, а главное – уши привыкают к давлению и не болят
20	2094	давление		0	45-54	Там, где подошвы оказывают обычно наибольшее давление, песчинки спрессованы сильнее
21	2095	давление		1	7-16	У него давление всегда 120 на 80
22	2096	давление		1	123-133	Но тут он задает такой вопрос: учел ли высокочтимый ученый те изменения, которые претерпевает полая человеческая кость под давлением огромных земляных масс?
23	2097	давление		0	6-15	И это давление мухи на воздух передается на дно сосуда и тем самым на чашку весов
24	2098	давление		2	23-32	Этот препарат повышает давление
25	2099	давление		0	73-82	Ледяная масса, соприкасаясь у основания с грунтом, превращается в воду – давление, трение и внутриземное тепло в совокупности делают свое дело
26	2100	давление		0	31-41	Вода, вырывающаяся под высоким давлением через сопла малого диаметра, размывает грунт под трубопроводом
27	2101	давление		0	29-39	Закачать воздух в камеру под давлением
28	2102	давление		1	21-30	А это было бы прямое давление на суд
29	2103	дама		0	21-25	Мужчины отвели своих дам в гостиную
30	2104	дама		0	9-14	Светские дамы и простые крестьянки
31	2105	дама		1	8-13	Желание дамы – закон для джентльмена!
32	2106	дама		2	20-26	Побить чью-л. карту дамой
33	2107	дама		2	19-24	Корнет бросил свою даму и вытянулся перед генералом
34	2108	дама		0	47-52	Публика в вагоне обыкновенная: офицеры; купцы, дамы средней руки; помещики, дети, солдаты, мужики, четыре бабы
35	2109	дама		0	125-130	Она обернулась к замешкавшейся в комнате Анне Андреевне, чтобы поведать, какой описывали ей Ахматову общие знакомые: «такая… дама»
36	2110	дама		2	76-81	Вся история, сколько помню, состояла в том, что где-то на дороге у какой-то дамы в карете сломалось дышло; мужики за это деревцо запросили двадцать рублей и без того не выпускали барыню вон из деревни
37	2111	дама		1	65-70	– За вас! – горячо ответил Костя. Она покачала головой. – А ваша дама? Нет, настоящий мужчина должен сохранять верность своей любимой
38	2112	дама		1	58-63	Капитан Робинсон, пожалуйста, выбирайте выражения. С нами дама
39	2113	дама		0	39-44,145-150	Подавали мне шницель по-министерски, а даме моей – роскошный омлет с сыромАга, – сказал Зигмунд и перевел взгляд на мужчину с бакенбардами и его даму
40	2114	дама		0	17-22,86-91	Я, мол, светская дама, а ты Зоя-коммерсантка, портнихаЗато Елена и ее мать одеты, как дамы пушкинской поры, в сильно декольтированных платьях и драгоценностях, и ведут они себя, как героини позднего романтизма
41	2115	дама		0	68-73	Совершенно, совершенно перестали чистить улицы! – посетовала старая дама в суконных ботиках
42	2116	дама		0	47-52	У нас был замечательный педагог, очень пожилая дама, она гениально играла Бабу Ягу
43	2117	дама		1	8-13	Пиковая дама означает тайную недоброжелательность
44	2118	дама		2	75-80	Чернилами сквозь изготовленный бумажный трафарет наносили узоры на карту – дамы, валеты, десятки всех мастей
45	2119	дама		1	14-19	Граф, следует даме что-нибудь ответить, не мне вас этому учить
46	2120	дама		0	20-26	Иностранный гость с дамой спустился в ресторан
47	2121	дама		2		Екатерина тузом ловко накрыла трефовую
48	2122	дама		0	27-32	Директриса, величественная дама, милостиво кивнула
49	2123	дама		1	46-51	В ссудных кассах, говорю, нынче и благородные дамы служат
50	2124	дама		1	9-14	Я думаю, даму мы пропустим вперед
51	2125	дама		0	30-35	Приехала ее мать, молодящаяся дама, надушенная, одетая в черное, но изысканно
52	2126	дама		2	71-76	Мужиков за столом полно, вот им бы в самый раз и провозгласить тост за даму – при чем тут я!
53	2127	дама		2	49-55	Доктор Кролль открыл карты, лежавшие под пиковой дамой, раскидал их веером
54	2128	дама		0	108-113	Его окружают верхами пышные, в золоте, придворные и, в открытых колясках, под зонтиками, красивые, нарядные дамы
55	2129	дама		0	18-23	В магазин заходит дама в пальто и осведомляется, не завезли ли бананов
56	2130	дама		0	69-74	Анна Францевна де Фужере, пятидесятилетняя почтенная и очень деловая дама, три комнаты из пяти сдавала жильцам
57	2131	дама		1	38-43	Надеюсь, настоящие мужчины не откажут даме в помощи
58	2132	дама		1	14-20	Один ты или с дамой, остановись перед рекламой, читай, не ленись, сегодня – бенефис
59	2133	дама		1	15-20	Уступить место даме
60	2134	дама		2	15-20	Кавалер подает даме правую руку
61	2135	дама		0	14-19	На маскарадах дамы одевались в мужское платье
62	2136	данные		4	0-7	Данные подозреваемого не содержат отпечатков пальцев
63	2137	данные		0	81-88	Я не сомневаюсь в высоких достоинствах его стиха, но мало того – у него были все данные, чтобы стать первым поэтом России
64	2138	данные		4	7-14	анализ данных
65	2139	данные		4	13-20	По последним данным опросов, лидируют два кандидата
